"","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree.centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"org.silo",0.967014136966778,0.962942771701139,0.925992129654381,0.895991544583629,0.749650007169921,0.562802439204706,0.898618576011148,0.338068943459574,0.503238788093477,0.147971554139698,0.17322413898738,0.525769267976642,0.802070405196229,0.888889154383292,0.0639012151896246,NA,0.844666536955459,0.970930364619809,0.362880011864644,0.0247425567792619,0.0343180186400613,0.0743268660359759,0.784908360302447,0.430691228166439,0.55093614683948,0.575668914843951,0.0901544910846776,0.983891936317878,0.822468766342588,0.540480781011863,0.471035302617721,0.158173510456787,0.612376022220935,0.279461891532079,0.131651284064802,0.718084423324207,0.669403417597305,0.645398709802518,0.764706672569754,0.900748727087007,0.0270337200433017,0.858391870555245,0.111753300713223,0.0489520540401957,0.816776304192234
"prima.donnas",0.783147848873745,0.745671894825254,0.937944256234508,0.717659461384125,0.808427334523227,0.697901675452424,0.975687960287212,0.459216423784174,0.414777746862978,0.433236032724381,0.497521545663831,0.415515978162995,0.354419875631106,0.376749171437917,0.93502821925604,0.844666536955459,NA,0.146104879294272,0.0955823407908382,0.385607874174263,0.977373008168442,0.97652945033809,0.886843110835768,0.785213261012392,0.64393677096406,0.723887387833755,0.268569283064658,0.0333000575456581,0.111625713166786,0.140211473323468,0.221555905206179,0.925625669788486,0.904609776167764,0.457599675475952,0.0296216316397884,0.964941215082984,0.93395413664072,0.553166540455528,0.88220979156633,0.431157479194746,0.348446050014798,0.256366708294293,0.592830827583835,0.282607151422722,0.56454330911581
"radio.silence",0.0524907929697073,0.0559438682332657,0.168618312913106,0.126000892115086,0.90565531317473,0.696911033183543,0.440853763669055,0.851163072912574,0.319734901640964,0.505592542971833,0.577440058554034,0.594045411062065,0.150309105617677,0.155391144002559,0.972258330645512,0.970930364619809,0.146104879294272,NA,0.922001903025819,0.464430655917013,0.109883750945739,0.0172868072947259,0.849673295665679,0.766766646024146,0.851345815327604,0.860315113090668,0.865682017947594,0.283069981996218,0.0216141652540958,0.159639218971326,0.155886940305089,0.145916128477472,0.123742497360067,0.620718840094294,0.556201005507202,0.20820460023463,0.0432836624709544,0.441878225185614,0.919754716601843,0.154754825102409,0.385433875464609,0.374168466101064,0.211420137252032,0.235103766706501,0.870705651608594
"black.cloud",0.142011633848157,0.215340115515064,0.287117944027714,0.12151755227599,0.738133093100278,0.87347316370409,0.626264092057793,0.0465555617958344,0.550725695444672,0.897934411750115,0.945709570042748,0.924572925843461,0.517142009031689,0.507499373484419,0.334753896369001,0.362880011864644,0.0955823407908382,0.922001903025819,NA,0.720937525987185,0.353243350581426,0.370963544218435,0.373694302540895,0.338206994303385,0.901528250988081,0.88074338047609,0.273432676720731,0.665552752976936,0.348026624121356,0.0515099783780678,0.0371729871074753,0.94532480597343,0.210405526408746,0.172797959709083,0.213509329015357,0.759134662606727,0.86562023748548,0.491708809528933,0.457613333468172,0.574467365834654,0.765154980825045,0.323510929166295,0.578128301118479,0.935543167471599,0.542430346444345
"missing.links",0.893225487494413,0.975069858870463,0.854321035906488,0.693621421058918,0.656489393663908,0.832490175231041,0.536643692072283,0.380380270918476,0.392227639534194,0.291457984542824,0.336454224434946,0.959274165574476,0.575840476933703,0.681464708959797,0.00377886766987569,0.0247425567792619,0.385607874174263,0.464430655917013,0.720937525987185,NA,0.0174104328283001,0.0130204843407412,0.530713557580959,0.513920645204744,0.18487986078605,0.24340568460398,0.0588178741056872,0.684880257063215,0.528389573918091,0.228458415994966,0.307081793800031,0.0280827679435584,0.791176096365091,0.360419956987832,0.368064064114986,0.126499537428005,0.404230820251315,0.724979077580203,0.675671176907071,0.798554963598592,0.0368610188961541,0.227818814989234,0.0152865365819511,0.0522194119943211,0.568018295211482
