"","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree.centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"org.silo",0.362199857767742,0.281419896306553,0.419183609728302,0.120747518957582,0.0670220063248407,-0.102296746495809,-0.326863286278206,0.280843189822894,-0.0705494803419375,0.292046436243637,0.161911775376243,NA,0.344583136810553,0.257956971873611,0.835012148410201,NA,NA,0.0532369147590832,NA,1,-0.396523227171102,-0.455841772215012,-0.522957788435021,-0.220192753025272,-0.385337317794226,-0.458734902135984,-0.452225509748771,0.220192753025272,0.239868233162588,-0.132979559503908,0.0674956659732012,-0.569919538432139,-0.0317472661538719,0.592615634872275,0.380967193846463,0.151681382735166,0.126989064615488,0.480577372257687,0.268088025299363,0.260180658849455,0.861175697258334,-0.0020109695934848,-0.250450655213878,0.503546143725885,0.0196676706176106
"prima.donnas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"radio.silence",-0.277069804864545,-0.432770069180494,-0.216234752757325,0.0359349734110043,-0.429434594295461,0.35300979361576,0.408313396642487,-0.403772880981751,0.145571048913716,-0.457900902504595,-0.320490473222364,NA,-0.274874685708464,-0.355451394398593,-0.161058856032886,0.0532369147590832,NA,NA,NA,0.0532369147590832,-0.318181818181818,-0.306235047481865,-0.124261178839043,0.320211499315996,-0.34888715597116,-0.358445708189548,-0.534289138108712,0.172053939930983,0.84431208369955,-0.382314798847938,-0.212569756947879,-0.0821715321228785,0.294781374050274,-0.0691462482340149,-0.149210325136558,-0.51677722364369,-0.553169985872119,0.0437478639259807,0.109178286685287,-0.381641115859591,-0.183365166943605,0.109959452832477,-0.192881639810673,0.222384974957069,0.0892805381522402
"black.cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"missing.links",0.362199857767742,0.281419896306553,0.419183609728302,0.120747518957582,0.0670220063248407,-0.102296746495809,-0.326863286278206,0.280843189822894,-0.0705494803419375,0.292046436243637,0.161911775376243,NA,0.344583136810553,0.257956971873611,0.835012148410201,1,NA,0.0532369147590832,NA,NA,-0.396523227171102,-0.455841772215012,-0.522957788435021,-0.220192753025272,-0.385337317794226,-0.458734902135984,-0.452225509748771,0.220192753025272,0.239868233162588,-0.132979559503908,0.0674956659732012,-0.569919538432139,-0.0317472661538719,0.592615634872275,0.380967193846463,0.151681382735166,0.126989064615488,0.480577372257687,0.268088025299363,0.260180658849455,0.861175697258334,-0.0020109695934848,-0.250450655213878,0.503546143725885,0.0196676706176106
