"","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree.centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"org.silo",0.502781737133493,0.724287815711318,0.336312869367191,0.792266332468152,0.451879017068145,0.406204945051607,0.455892614382289,0.23678761285023,0.0822246771913473,0.490555794594915,0.264535643984034,NA,0.177053952846391,0.482980261104361,0.00682269620534556,NA,0.324419046339614,0.914467832287117,NA,4.77645148335419e-10,0.472447974577042,0.00645511521717974,0.764681904252062,0.99585382206941,0.350769749351492,0.614221100874301,0.196096804351211,0.228188085274725,0.000647071583016579,0.386411490252277,0.850005556415024,0.0151467789408365,0.124460397932581,0.0432825430776195,0.0421111300563005,0.58201122820294,0.594948289678865,0.979672303668818,0.0906570487970109,0.532034779051907,0.0028064436741275,0.732071674029892,0.0150192049141426,0.00234740528800415,0.455948135671504
"prima.donnas",0.268012297392395,0.695924733748958,0.377762290581235,0.0958553692159339,0.817402670115218,0.900751663664014,0.280975954695436,0.877303830893268,0.402151285599866,0.671394516423653,0.846395311519651,NA,0.446316078924493,0.968203810865624,0.247450244863786,0.324419046339614,NA,0.0517642410928191,NA,0.234032163153821,0.850347683914826,0.567792458676899,0.36692672118698,0.297171534423998,0.716046811752491,0.41763247534942,0.22521760626087,0.777245195173706,0.310821701849268,0.890963593083862,0.374143581563239,0.614335380538831,0.881801977810402,0.571788001898131,0.0985331877622607,0.492375896310112,0.567690455664076,0.567180700055331,0.535512350983605,0.988565975461801,0.243849326906686,0.939262367805766,0.487149856590594,0.41025975813643,0.784620870751375
"radio.silence",0.111040596466797,0.233754593138253,0.313576278808313,0.0161460951374734,0.727422748316718,0.469057013331837,0.119449313055925,0.86081533358914,0.244005079619649,0.106313626737889,0.160739988605162,NA,0.781730963236475,0.767568988168372,0.421188246345692,0.914467832287117,0.0517642410928191,NA,NA,0.668877183094845,0.0581428670323256,0.873986172345651,0.0148540204956822,0.0180717231895853,0.463040997262408,0.623221961038303,0.0365349986051913,0.197857634149912,0.602151494125256,0.125569076266182,0.0165878799842287,0.986948385344122,0.679437987674564,0.731779311446281,0.0334594545125017,0.511269186109562,0.00400422342422362,0.17492045506945,0.131345765785934,0.525137840837214,0.549459171657333,0.400189424422057,0.328037770880386,0.522765060993635,0.433487401966426
"black.cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"missing.links",0.372121680174339,0.961079982113201,0.294918733115233,0.939328829673471,0.59632862580335,0.569556198088436,0.635768931411898,0.205468351176738,0.0417878438166624,0.592642938739656,0.336568933961445,NA,0.164646931162563,0.578267877110864,0.00461702325345782,4.77645148335419e-10,0.234032163153821,0.668877183094845,NA,NA,0.677178737180896,0.00846798598930703,0.549024379816364,0.783535257595302,0.304022845042772,0.574987642941433,0.136535515793247,0.236803575915085,0.000599761370698436,0.466337993205096,0.643019883224282,0.0156792528776945,0.130862110666091,0.0338339674817383,0.0207875949772779,0.556773123676225,0.789385815935971,0.92614231895399,0.0590936007992977,0.569042359446756,0.00278305492833557,0.936152603619317,0.0121349283951414,0.0033374351354242,0.61222298710782
