"","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree.centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"org.silo",0.443504275627885,0.571015781266849,0.330862674250893,0.719124978288085,0.366408456111988,0.276230512588156,0.572958221209956,0.663515593148462,0.391232746026155,0.444201787135373,0.209564351836237,NA,0.267679725343872,0.836046897546364,0.0208058566785112,NA,0.206255756619983,0.258000128900435,NA,6.74727104523571e-08,0.599497869823576,0.0301142647296562,0.881472363014635,0.520948935577084,0.673423202665486,0.468183503088794,0.3176478222527,0.860103507719015,0.00251160231497569,0.457102206809002,1,0.126919076734106,0.334615196812982,0.104092832873526,0.168899525405203,0.588259894923335,0.484911140402734,0.834447145237479,0.225326753392867,0.375065236242,0.00731516023037368,0.340085051875167,0.286690914249746,0.0666290014487934,0.297385077720106
"prima.donnas",0.206255756619983,0.684321444931474,0.33389313645066,0.152525247755052,0.892800448127626,0.892800448127626,0.206255756619983,0.786493984998402,0.33389313645066,0.582400638225757,0.892800448127627,NA,0.408106213965141,0.583767731352641,0.330312679128664,0.206255756619983,NA,0.19926701444245,NA,0.204522618516104,0.330312679128664,0.495366759516297,0.370083122282068,0.370083122282068,0.769874999892136,0.370083122282068,0.368938990523154,0.555445442105586,0.113213398469339,0.684848714427376,0.33389313645066,0.333003139115651,0.892425571852248,0.33389313645066,0.11393741215192,0.495366759516297,0.495366759516297,0.495366759516297,0.494592313127359,1,0.331212930450466,0.891081850964003,0.33389313645066,0.206255756619983,0.892800448127626
"radio.silence",0.138242871297513,0.130656629437415,0.300651924712344,0.0322664082193838,0.581404663773538,0.335064350421593,0.106334289604959,0.783337578523442,0.55100817539749,0.0378443365792485,0.0409224569789949,NA,0.699205514743826,0.439200353568342,0.563334088410363,0.258000128900435,0.19926701444245,NA,NA,0.382352367387676,0.0923885220277382,0.258000128900435,0.0224267089854983,0.03425373678942,0.240679935572615,0.746694115153868,0.123263407728923,0.453089588028431,0.912717914836012,0.335064350421593,0.183965532959486,0.852091102878314,0.376024659753065,0.596844794315359,0.124819732310671,0.860956048900067,0.0233994660457401,0.692535337999164,0.611807663951623,0.533124695408686,0.973682781709867,0.1932315767225,0.311894298001184,0.335064350421593,0.409908414268521
"black.cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"missing.links",0.233849703878269,0.715513761319784,0.189131049979182,0.930506498459046,0.421636997260854,0.334615196812982,0.585488582963928,0.646464659536855,0.224444891141341,0.573076035998511,0.268581063645777,NA,0.323232310625209,0.818401696024497,0.0138666910675449,6.74727104523571e-08,0.204522618516104,0.382352367387676,NA,NA,0.870048178005232,0.0675703982612593,0.738221409385251,0.904507452060733,0.629100305058791,0.499525990235336,0.258551659308776,0.893946166456326,0.00710639879068497,0.711912996765272,0.819972964509617,0.225894839393405,0.481298577217412,0.0614046839053141,0.15013292547274,0.540488162884896,0.585488582963928,0.687579752383779,0.21214273412489,0.333965583184589,0.00881207524391308,0.500750768078036,0.201942086976751,0.0675703982612592,0.408574348364592
