"","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree.centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"org.silo",0.256012537309024,0.0987515700723274,0.0173050234870596,0.110669632984883,0.0110205186889633,0.0145393118705073,0.0488448583092957,0.0348001228553438,0.651073351116621,0.947852977837923,0.528100236783455,NA,0.0793029394097802,0.887662802266821,0.00215610396191873,NA,0.33389313645066,0.0239810831714622,0.22286835013352,0,0.23673221413855,0.000771902003950588,0.924426257832482,0.673423202665486,0.468183503088794,0.451196804369117,0.386434553629285,0.00921598665454992,0.00202719852581381,0.0627487199268388,0.0838845872329148,0.00236893039782362,0.00150918138585257,0.0666290014487934,0.0627487199268389,0.000597084260510472,0.0428068689875762,0.00274613530473304,0.00202719852581381,0.510563589034829,0.0660406040682351,0.186557880911211,0.00905209711737095,0.184480684602262,0.391232746026155
"prima.donnas",0.206255756619983,0.892800448127627,0.33389313645066,0.263855823280938,0.33389313645066,0.33389313645066,0.206255756619983,0.33389313645066,0.495366759516297,0.201028286824492,0.206255756619983,NA,0.892800448127627,0.262052021045234,0.333003139115651,0.33389313645066,NA,0.206255756619983,0.769874999892136,0.33389313645066,0.495366759516297,0.33389313645066,0.370083122282068,0.22286835013352,0.555445442105586,0.769874999892136,0.555445442105586,0.117306803014238,0.206255756619983,0.206255756619983,0.206255756619983,0.33389313645066,0.263855823280938,0.495366759516297,0.33389313645066,0.684848714427375,0.33389313645066,0.892800448127626,0.206255756619983,0.153336659577789,0.684321444931474,0.583767731352641,0.206255756619983,0.33389313645066,0.33389313645066
"radio.silence",0.0279545528218171,0.192612183946047,0.00144087257368034,0.0502659036830273,0.0081706398158992,0.00411545002029303,0.00274613530473303,0.0204418784224505,0.783196910294608,0.84430651915491,0.851681911253292,NA,0.88633510886492,0.41993778729929,0.114389357710045,0.0239810831714622,0.206255756619983,NA,0.117306803014238,0.0221592071503023,0.140413038412287,0.0081706398158992,0.775664871585324,0.418166994020657,0.673423202665486,1,0.313026082995925,0.0187283868010195,0.000308860793053586,0.147205377767155,0.00411545002029304,0.0188251260525212,0.000379135720880932,0.0145393118705073,0.0204418784224505,0.0145393118705073,0.000443302209472018,0.00525292057773479,0.0011918743865398,0.0551151638005375,0.632487778851591,0.195015688108231,0.0666290014487934,0.603727651288199,0.127472652576309
"black.cloud",0.555445442105586,0.370083122282068,0.117306803014238,0.115370672746891,0.117306803014238,0.117306803014238,0.117306803014238,1,0.370083122282068,1,0.769874999892137,NA,0.555445442105586,0.882864936657061,0.116339458861796,0.22286835013352,0.769874999892136,0.117306803014238,NA,0.22286835013352,0.22286835013352,0.117306803014238,1,0.555445442105586,0.769874999892136,0.555445442105586,0.769874999892137,0.370083122282068,0.117306803014238,0.555445442105586,0.117306803014238,0.117306803014238,0.116339458861796,0.117306803014238,0.117306803014238,0.117306803014238,0.117306803014238,0.117306803014238,0.117306803014238,0.161646877012907,0.368938990523154,0.115370672746891,0.117306803014238,0.370083122282068,0.117306803014238
"missing.links",0.286690914249746,0.109632452145995,0.0221592071503023,0.102008083962313,0.0158776933220116,0.0188251260525212,0.0520862417500275,0.0373345113663698,0.699712220731721,0.861449282203162,0.699712220731721,NA,0.115373605094864,0.930749393226466,0.00567052878802927,0,0.33389313645066,0.0221592071503023,0.22286835013352,NA,0.286690914249746,0.00236893039782362,0.924426257832482,0.673423202665486,0.468183503088794,0.451196804369117,0.386434553629285,0.00921598665454992,0.00236893039782362,0.0987515700723274,0.0793029394097802,0.00525292057773479,0.00225915947360032,0.0554813240816213,0.0706789050614175,0.00171859567294698,0.0488448583092957,0.00411545002029303,0.00274613530473303,0.475079729629864,0.105548053930175,0.170335494337412,0.0158776933220116,0.26600430932519,0.354332534211376
