"","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree.centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"org.silo",0.361638765564621,0.802376230500435,4.79649369203632e-05,0.848964415190376,0.116201629203239,0.0020875372987906,0.234905503251798,0.417122284492644,0.688574352818779,0.160154524982097,0.319497520779634,NA,0.197679353570778,0.411832698354631,2.32164410468888e-05,NA,NA,0.547194774824523,0.366739698901225,6.44916723002438e-08,0.0144129013450725,0.00972746517174095,0.959194297187687,0.979418405127246,0.89933969705963,0.805629465959384,0.575483986035605,0.993437896867046,0.0630325382273758,0.242323655763024,0.139127436377133,0.163884184154526,0.792268395579279,0.371207803086006,0.850689326188823,0.555631209211562,0.177827767315176,0.619350054256691,0.29711578737855,0.492936337468861,7.14433913832128e-05,0.126450982979651,0.126925099036039,0.00486500500852669,0.633541387468665
"prima.donnas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"radio.silence",0.0411668208109561,0.0979598542081474,0.299168654523198,0.00557459997539329,0.809694530873411,0.981105495766463,0.680629271569986,0.303906720368755,0.780731208424086,0.621659815469742,0.792325498587953,NA,0.0264557053015604,0.0261132816063644,0.354996928141904,0.547194774824523,NA,NA,0.412332072975441,0.442885708172265,0.536574716833549,0.668520552792288,0.636990826830453,0.730878051954909,0.922408294948634,0.792293165767979,0.326363105066356,0.766447826660925,0.242255582920079,0.458863408670667,0.450782418643025,0.151237584203646,0.776920646542141,0.333430822707036,0.26346182851004,0.328069157168442,0.629340703205111,0.162636533877007,0.189606352438443,0.0378994591560551,0.812166883462078,0.0435598344593782,0.243319797299397,0.469641535922084,0.317198108928184
"black.cloud",0.749586611896569,0.732139765052195,0.957743360898343,0.639765664952631,0.847042703240379,0.736317924448885,0.875013429346114,0.198392443285058,0.148514513567409,0.4343801970835,0.405244455926012,NA,0.892536705302653,0.819779998916439,0.67176192886648,0.366739698901225,NA,0.412332072975441,NA,0.20218854230161,0.28674184230248,0.0377688164957306,0.60034415952024,0.864563045712041,0.410744281960581,0.920591611114418,0.599792089580601,0.817243047041038,0.0518395783799298,0.512121235587475,0.680523063454836,0.285517973651567,0.0653438720199589,0.153222659967098,0.250362774791719,0.488766258152743,0.0767926246696518,0.400509599514522,0.704018098318656,0.789726686148905,0.656812301422846,0.870322532392144,0.577069449111842,0.525409380059716,0.916922346031359
"missing.links",0.398692847699773,0.845455053029341,0.000368787005766745,0.738812104314227,0.11896685005011,0.00545356734316117,0.342919169963463,0.43879888494516,0.706757328528335,0.162433605274738,0.330538007812754,NA,0.218279702819053,0.429857426175491,1.80252207107513e-05,6.44916723002438e-08,NA,0.442885708172265,0.20218854230161,NA,0.0157614010708773,0.00598660175980701,0.887983312904367,0.97514666925041,0.768807095123436,0.825340489418253,0.487873221302511,0.972652538002844,0.0363502726366814,0.241098827847496,0.158143943320039,0.124686685736461,0.955987670390965,0.508327122320894,0.965571812349425,0.638233181184209,0.175420267153762,0.655439908159227,0.419197947978562,0.512249834044057,4.84819269731439e-05,0.132081198577593,0.113748341689497,0.00351227521434742,0.640726075897424
