"","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree.centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"org.silo",0.210082576559176,0.613197991339015,0.676081184918309,0.598407731203898,0.687690629747194,0.304428365483839,1,0.116531619385745,0.0224362920987946,NA,NA,NA,0.613197991339015,0.68610819650704,0.0674227194918749,NA,0.0161970707866179,0.0754273294730744,NA,0.0145136751580492,0.00373004554666152,0.00373004554666152,0.25899384668755,1,0.0528394465170706,0.0528394465170706,0.282076485790528,0.361501134694393,0.0779788682847872,1,0.415259700302114,0.0681440777025421,0.415259700302114,0.0843621179168814,0.211824469312814,0.416105705001809,0.304428365483839,0.911082936940805,0.841481133793827,0.91998815187769,NA,0.0674227194918749,0.0681440777025421,NA,0.0681440777025419
"prima.donnas",0.683791523379976,0.585121541514757,0.571701238527655,0.13513308706125,0.333003139115651,0.892800448127627,0.205390352320929,0.30762057179972,0.205390352320929,NA,NA,NA,0.493032779999985,0.407245374424146,0.0711661439115295,0.0161970707866179,NA,0.103737256012681,NA,0.132436334446779,0.19608015249223,0.19608015249223,0.117306803014238,0.365470183682198,0.117306803014238,0.117306803014238,0.478996856624381,0.107571426039821,0.10666492814545,0.205390352320929,0.113213398469339,0.107460970998579,0.684321444931473,0.495366759516297,0.892800448127627,0.33389313645066,0.206255756619983,0.0719063984244514,0.206255756619983,0.203652550074369,NA,0.0711661439115295,0.0719063984244513,NA,0.0719063984244514
"radio.silence",0.200602697345218,0.606570268616746,0.398430721219985,0.0845498469575807,0.734683419957873,0.36605005879661,0.705376141375707,0.50954799203998,0.267084502991205,NA,NA,NA,0.721135064911654,0.746044853976378,0.000257655435202174,0.0754273294730744,0.103737256012681,NA,NA,0.0477691301893963,0.0557378250767398,0.0557378250767398,0.417638323044539,0.770877599041478,0.460375861227212,0.460375861227212,0.000592911106775564,0.494773584128991,0.000637612005009922,0.328626878172506,0.076477761616318,0.000532743578255654,1,0.174625113656609,0.372336865103512,0.107824580576887,0.30066192990713,0.238360819042508,0.466036083696291,0.946813258879083,NA,0.000257655435202174,0.000275685060824292,NA,0.000275685060824293
"black.cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"missing.links",0.808317577078131,0.758351064494729,0.231426694042908,0.341460045832225,0.853174921493484,0.264939333373493,0.25737601529051,0.280651253267149,0.185106699602795,NA,NA,NA,0.758351064494729,0.774422301889716,0.0090901489319141,0.0145136751580492,0.132436334446779,0.0477691301893963,NA,NA,3.21200273758066e-08,3.21200273758066e-08,0.682998779494064,0.499383463157988,0.481158432890916,0.481158432890916,0.156860454742075,0.924043023643793,0.0244042504531693,0.764637628012913,0.89809824348692,0.00251475346613968,0.343872538742321,0.027899793118887,0.966022891435427,0.898275733198226,0.754148121377259,0.637757716679374,0.586600813992469,0.599733207838272,NA,0.0090901489319141,0.00509937734843949,NA,0.00509937734843951
