"","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree.centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"org.silo",0.603225789547693,0.86768806863301,0.798636120556159,0.772042154886883,0.911755828128187,0.807138802852831,0.85918731910476,0.62962056687925,0.729995285200465,0.57679500899012,0.57679500899012,NA,0.815131661879827,0.815131661879827,0.446343771324735,NA,0.143497844246956,0.196142666160175,NA,0.0236568813573339,0.00636995583404826,0.00489986658534609,0.15040104251475,0.501235868434007,0.723762649844907,0.584693339432281,0.0842937638801731,0.344425307528431,0.181994290770855,0.305374061478432,0.256623568635691,0.316860397317066,0.444226376442011,0.403702203130995,0.493842826231307,0.107079617007291,0.157972502113385,0.146759157072403,0.0956328167698207,0.477833618506316,0.251102678816064,0.445365435980359,0.340533727731022,0.156350662157125,0.340533727731022
"prima.donnas",0.892613500726563,0.684321444931473,0.57892335234542,0.683791523379976,0.892800448127627,0.495366759516297,0.684848714427375,0.197496287544523,0.205390352320929,0.778725396245443,0.778725396245443,NA,0.683791523379976,0.683791523379976,0.487459832004872,0.143497844246956,NA,0.113213398469339,NA,0.786124811908926,0.786861253408908,0.684848714427375,0.370083122282068,0.370083122282068,1,0.769874999892137,0.555445442105586,0.555445442105586,0.11393741215192,0.684848714427376,0.892800448127626,0.892800448127627,0.495366759516297,0.11393741215192,0.892800448127626,0.206255756619983,0.206255756619983,0.495366759516297,0.892800448127626,0.683791523379976,0.382526520153963,0.259323785402475,0.684848714427376,0.332109743757739,0.206255756619983
"radio.silence",0.1198076158964,0.208544699461983,0.266329182659265,0.13364519601114,0.173686060459266,0.383939601453497,0.220708015504403,0.556393506873693,0.711914703309386,0.205390352320929,0.205390352320929,NA,0.330812007948028,0.330812007948028,0.545061510379917,0.196142666160175,0.113213398469339,NA,NA,0.587972451520174,0.172854157456952,0.230002980006253,0.251530641821595,0.270463710369742,0.29691485140291,0.424157749994814,0.432353561829766,0.270463710369742,0.00039830756513666,0.207196608827139,0.136882432772603,0.704272667435206,0.323943941249951,0.449188744038428,0.64821522908268,0.00143474036993647,0.0029101723128613,0.648215229082679,0.982761609403465,0.695151029548802,0.886217955026872,0.311916794713469,0.519302297016613,0.715513761319784,0.422481142333308
"black.cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"missing.links",0.857663652826057,0.491900459646779,0.483110769063986,0.432397497003706,0.496232115750786,0.496232115750786,0.278118012028416,0.566431988101634,0.443330017353809,0.585121541514757,0.585121541514757,NA,0.776817180150567,0.776817180150567,0.0293822211145174,0.0236568813573339,0.786124811908926,0.587972451520174,NA,NA,0.0268944173880487,0.0125668509555123,0.143270444979017,0.936122183553033,0.301377706087898,0.261705569535919,0.0512201381782054,0.936122183553033,0.95676698653778,0.427401908548092,0.299680364311492,0.0648992839213011,0.201074230049589,0.288785255018237,0.61564038023821,0.40771687923232,0.887860347521825,0.196750345776996,0.482083868141056,0.192897699632465,0.0175451970080036,0.0924076357976676,0.00576033719537898,0.0112278108334213,0.0447950892691283
