"","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree.centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"org.silo",0.499454090575711,0.784986921149611,0.172072770724955,0.85772595310774,0.213063003410257,0.0845008883370688,0.660821039899433,0.966157725527081,0.669176638280872,0.862661157287519,0.980937331455058,NA,0.501852849782663,0.692487590917783,0.0376060966352748,NA,0.531915573084239,0.77233883087437,NA,0.00802655018912506,0.112364745854353,0.134922477953786,0.130256646852253,0.743256169026991,0.0441156186471176,0.0178060175093719,0.385993098499162,0.345349751591444,0.972567406046172,0.958531299102281,0.561804910032899,0.68241159020634,0.597419567547465,0.31289637579653,0.990900198045726,0.341644629096763,0.956255096385257,0.294794117780264,0.115963880475813,0.561982655901463,0.00494732634556108,0.555360913408213,0.337186205160228,0.012870201095832,0.293733567460266
"prima.donnas",0.415187823817721,0.607334505406529,0.230416868321499,0.92145511667222,0.64980409472625,0.293059219892267,0.504372423837931,0.563873012813888,0.864482135716616,0.540961840540432,0.543288484508568,NA,0.342037400696725,0.420163012433986,0.319687163369571,0.531915573084239,NA,0.466877337999117,NA,0.334035222011853,0.33895336852122,0.426417609315106,0.34334669935861,0.975277270281123,0.663587355699736,0.627781867039586,0.116439645113896,0.339929116305047,0.941244488081651,0.82425102156902,0.301345834369352,0.0706054141940985,0.402302367049213,0.313533268056271,0.503845415031529,0.120160853240061,0.887233860119536,0.497129695982963,0.400848181460721,0.288111614060472,1,0.461337974966261,0.118557834333881,0.877588644051861,0.276051571218679
"radio.silence",0.934102018918994,0.972992969857048,0.848636600545413,0.18689379127712,0.763841323467948,0.747511861043469,0.450625750879032,0.116031384069137,0.0482252933137712,0.308324909853521,0.295003878683075,NA,0.855569688389911,0.858568923048658,0.803749301197441,0.77233883087437,0.466877337999117,NA,NA,0.544399841837956,0.035441361042366,0.327286961855182,0.467502636450391,0.188845987085297,0.34413830349431,0.629644091272057,0.281374723093963,0.689479982152455,0.000339681049670503,0.398851433240612,0.124597916366222,0.640921688786964,0.749797312197983,0.486370474712672,0.0460884781186685,0.168757892505251,0.264696195305632,0.732226198309256,0.49357551941886,1,0.568910341223534,0.498353021128664,0.886379063184442,0.463334175318413,0.465789451722413
"black.cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"missing.links",0.706892676626503,0.915639580259855,0.743987782815602,0.205110298621971,0.383001727478259,0.665854815519684,0.592931499519369,0.897943278294972,0.935774853323762,0.161790873906238,0.150228548625642,NA,0.85592709450661,0.731389768517961,0.00011628493371721,0.00802655018912506,0.334035222011853,0.544399841837956,NA,NA,0.107654412156343,0.046181208669961,0.177681526130619,0.896027064214753,0.360648960601332,0.233747124707073,0.606075899419213,0.0502591804074833,0.431388424264383,0.577941097384835,0.845068566800071,0.141846283402341,0.612363365943,0.314675786342556,0.632950751086207,0.611123986643553,0.393591599862577,0.142186121302773,0.343970939327252,0.953015410947152,0.236320375076358,0.267278510935002,0.0453826144784827,0.289369447612866,0.543547731207959
