"","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree.centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"org.silo",0.718039630046805,0.678321678321678,0.825174825174825,0.72854752707188,-0.643356643356643,0.566433566433566,0.644484350871279,0.64798698321297,-0.13986013986014,0.130749396156941,-0.34965034965035,NA,0.713286713286713,0.671328671328671,0.873689588749017,NA,NA,0.518389586570376,NA,1,0.349478597988664,-0.185639514109662,-0.195900280458628,-0.3,-0.00909090909090909,-0.0818181818181818,-0.290909090909091,0.0636363636363636,0.538461538461539,0.825174825174825,0.356643356643357,0.027972027972028,-0.72854752707188,-0.580419580419581,-0.545454545454546,-0.013986013986014,0.594405594405594,0.0769230769230769,-0.622377622377623,0.679510674288196,0.871716861367298,0.544570201319719,-0.643356643356643,0.657342657342657,0.350263234169173
"prima.donnas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"radio.silence",0.691228070175439,0.672505409604812,0.574431704037444,0.621052631578947,-0.157618455376128,0.0735552791755264,0.540350877192982,0.217543859649123,-0.381786925244399,0.0460195011513113,-0.199650043476429,NA,0.52539485125376,0.504379057203609,0.444640405485449,0.518389586570376,NA,NA,NA,0.518389586570376,0.314665288091356,-0.0807017543859649,-0.525114155251142,-0.473805329481333,-0.0637814866609487,-0.118451332370333,-0.127562973321897,-0.314351612828962,0.616463292137745,0.595447498087594,0.704029100680038,0.290718484360414,-0.564912280701754,-0.413310616319624,-0.402802719294549,0.20315267581812,0.136602661325978,0.0805605438589098,-0.399300086952857,0.501754385964912,0.380284047592407,0.381510773607831,0.00350263234169173,0.0175131617084587,0.273684210526316
"black.cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"missing.links",0.718039630046805,0.678321678321678,0.825174825174825,0.72854752707188,-0.643356643356643,0.566433566433566,0.644484350871279,0.64798698321297,-0.13986013986014,0.130749396156941,-0.34965034965035,NA,0.713286713286713,0.671328671328671,0.873689588749017,1,NA,0.518389586570376,NA,NA,0.349478597988664,-0.185639514109662,-0.195900280458628,-0.3,-0.00909090909090909,-0.0818181818181818,-0.290909090909091,0.0636363636363636,0.538461538461539,0.825174825174825,0.356643356643357,0.027972027972028,-0.72854752707188,-0.580419580419581,-0.545454545454546,-0.013986013986014,0.594405594405594,0.0769230769230769,-0.622377622377623,0.679510674288196,0.871716861367298,0.544570201319719,-0.643356643356643,0.657342657342657,0.350263234169173
